question,answer,followUp,Grammar,Relevance
What matters to you more - job satisfaction or salary?,"Job satisfaction and salary are two major factors which I consider when choosing a job. I define a minimum threshold for each of them. I would prioritize job satisfaction over salary because your job description, peer group and environment at work influences your productivity and happiness in a major way. I do respect the importance of money and therefore would expect the salary to be above a realistic minimum threshold which I've set.",What is the difference between job and salary,3,2
Have you ever had to sell an idea to your co-workers? How did you do it?,"The biggest problem with our species is that rationality takes a back seat when emotions come into the picture. Emotions, I'd say, are our greatest strength and weakness. The thing that binds us together and makes us empathetic, is the same thing that makes us gullible and drives us to make irrational decisions. 
Back in the my undergraduate days, we had to raise funds for our college tech fest. It was decided that we would go from shop to shop in one of the busiest lanes of the commercial street to amass money for our technical fest. We soon found that people were neither motivated nor inclined to donate money for our cause. It was a tough and necessary realisation. We went back to our drawing boards. We had to come up with a plan. We had to identify with the people, connect with them, conjure up in their minds ideas and images that would aid our cause. School, education and children. These words conjured up old forgotten memories in the young guys and thoughts of grandchildren in the old men(They were our target demographic. The typical shop-owner, between the age of 35 - 60). And that is when the appeal of emotions struck us. As part of the events that were planned, we included a state level quiz for school students. This would later turn out to be our silver bullet. 
From then on out, we approached prospective benefactors not with a view to support our tech fest, but with a plea to help us host the state level Quiz, which in turn was part of the whole fest. The response was beyond what we had expected. People were more than willing to donate and even sponsor the event and the tech fest when we talked about school children and education. 
Appeals to emotion seldom go unanswered. ",what was the purpose of the tech fest ?,3,3
What has been your best career move so far?,Pursuing MS from IIT KGP and Publishing research articles,what did pursuing ms from iit ?,2,2
What situations make you angry?,Mostly when someone break my trust. When i try to believe someone but i do not get the results. But it help me to always self independent. ,what do you help always do ?,1,2
How much do you value time at work?,"Time is of great essence at work. I have always believed in being on time'. Apart from being punctual, managing time is also very important. As, we know Time and Tide wait for none, so I respect the time that I have and try and utilize it to full.'",What is the managing time?,2,2
Why will you resign from a job?,"I will consider resignation when the sparkles are no more in my eyes, and I see no significance in the work I do. I do not go behind a big pay, rather look for an interesting job. If any job that has stopped giving me such challenging jobs, I will quit.",How good is the durability?,3,2
How do you kill your time when you are not working?,As i wrote in earlier question that i like to do programming. So whenever i found some free time when i don't have work then i kill my time to do coding.,how did you feel you kill your coding ?,2,1
When was the last time you thought outside the box and how did you do it? Why?,"About a few months back, I along with 3 other batch mates attended a hackathon organised by Mercedes Benz. According to the problem statement of the hackathon we were supposed to build something for the car of the future. So, as was the case with all other teams, the first thought that came to our mind was self driving cars. Most of the teams started implementing their ideas of self-driving cars, but all in vain because lets face it building a self-driving car in 24 hours is next to impossible. At that moment, I parted myself from the traditional way of thinking about innovations and came up with an idea which will enhance the experience of the driver. I came up with the idea of sentiment analysis of the passengers in the car and thought of changing the inside atmosphere of the car based on the current overall mood of the passengers. This worked well and the judges liked our idea and asked to add more feature to enhance the in-car direr experience over the next couple of months.  ",what did the judges want to do with the judges ?,2,1
How would you be an asset to this organisation?  ,"I am a commited worker and don't waste time. I am open for co-operation and adjustments. I am a fast learner as well.

",How do you waste the time?,3,1
Describe a time when your workload was heavy and how you handled it.,"The workload during my Second Semester and Summer Vacations 2016 was pretty much heavy. However, I like to be busy nowadays. So I do not think a workload is a pressure, but the means to go forward and learn new things. However, we need to manage the workload due to a daily routine. Time management is the necessary step here. And also, I have this tendency to finish up the work of my interest quickly so as to not mess up the work and team progress.",when do we need to manage the workload ?,3,1
 Give an example of a goal you did not meet and how you handled it.,"We have one project module as a part of Training while i was woking with infosys. I was selected as a project lead for that project. I was not able to deliver that project on time because I was more focused on the optimization and performance part of the application. On the day of Demo of the project, I discussed with the head and explained her why I was not able to deliver it. She was impressed with the way we were going but explained me that timely delivery is more important. She gave us 2 more days and during that we were able to deliver the project.",what did you think was more focused on ?,2,2
How would you handle a situation when your manager asks you to work overtime quite often?,If I can finish the overtime work within my working hours then its better for me.I will ask him I can work some extra hours in some urgent situation only.,Do you have to have extra hours in order for the overtime to work?,2,3
Give an example of a time you went well out of your way to ensure a project was completed or a customer received the best possible service from you.,"The last project I did was to implement a IP asset management portal for my Institute. During the course of our project, we had to deal with a lot of changes from the customer side. Some of the request required the complete redesign of the software architecture. But our team was able to incorporate all of the changes, with a lot of hard work and a lot of sleepless nights",what was the last project ?,3,1
Are you a risk taker or do you stay away from risk?,"This depends on situation. Sometimes for my growth I had taken risks. Like as I was sure to do M-Tech and for that i need good score in gate exam. As I was aware that college placement procedure will waste a lot of time but if I cant get admission  i any college, my year will be wasted. So people suggested me to take job as backup but for master I took risk and didn't apply for placements.",what exam was you west sure for ?,1,2
Give an example of your creativity.,I try to Minimize wastage and maximise usage of resources which requires to be creative.,Has anyone try to minimize the usage of resources of your equipment?,3,2
What are the qualities that you seek in your manager?,"The qualities which i seek in my manager are :
He has to be punctual. He has to be friendly enough,so that the employee who are working under him, will not be scared in expressing problems.He should not show partiality.
He should be a role model to the people working under him.He has to tackle situations effectively.He should not be scared and frustated very easily.He should have great patience.  ",what is your model ?,2,2
In what ways are you an organised or disorganised person?,"I would consider or rather i would prefer an organised lifestyle. I keep my things clean and in proper organised place, which helps me in finding my things easily. I also plan my week using a weekly planner and try my best to achieve my weekly goals by following it. these are two examples to say that i am an organised person.

But life is not sunshine and rainbows as Sylvester Stallone says! I do procrastinate sometimes, go off the schedule and relax more. There are days where i missed my breakfast and slept for nearly 10 hours, which could be a possible example to say that i am a disorganised person sometimes.

Overall, i will consider myself as an organised person!!",is this an organised person,3,2
How would you convince your client with your ideas?,I will explain him about my idea and its applications in all possible ways till he gets convinced. Also I would like to show some pictorial presentations instead of explaining in words. This can make him connect to my ideas. I will explain by starting with the problem and how my idea can solve it. ,what did you believe he will explain him ?,2,3
Describe a decision you made that was a failure. What happened and why?,"The decision to really take it light at some crucial stages of my life, led to failure. For instance, my IIT-JEE exam. There is no excuse for it. The fault was me, my inability to adapt to the changes happening in the situations all around me.",what did the fault adapt to ?,1,1
What motivates you to do a good job?,The satisfaction that I get after giving my 100% for any job motivates. Every job I look for something to learn and experience.,what does every job do ?,3,3
 Give an example of a goal you did not meet and how you handled it.,"We have one project module as a part of Training while i was woking with infosys. I was selected as a project lead for that project. I was not able to deliver that project on time because I was more focused on the optimization and performance part of the application. On the day of Demo of the project, I discussed with the head and explained her why I was not able to deliver it. She was impressed with the way we were going but explained me that timely delivery is more important. She gave us 2 more days and during that we were able to deliver the project.",what is a part of training ?,2,1
Are you a risk taker or do you stay away from risk?,"I am definitely a risk-taker.

One cannot move up the ladder of success without taking risks.

Having said that, I take risks only after assuring that the damage is minimal in case I fail.

I like taking risks as that will put me out of my comfortable place and give me new experiences.

Also, risks make me work harder.",what do you believe will put me out of your ?,3,3
How do you feel about working under a person who is younger to you?,"A great person once said, the only true knowledge is the knowledge that you know nothing. To achieve greatness, we sometimes need to start over. We need to learn to let go of our ego and focus on our goals. When the mind is focused on the end goal, everything else becomes secondary. Working under someone younger would be a refreshing experience. We get to learn that age and wisdom need not always be in sync and that greatness comes from talent and effort. It is an experience of a lifetime that we should all experience, an experience that is exhilarating and humbling at the same time.",what do we do to go of our ego ?,3,3
Do you consider yourself successful? Why?,Partially. Have a lot of things that I haven't achieved yet.,how do you feel that you have n't achieved ?,2,2
Tell us about a situation when your work has been criticized.,"i faced criticism when i was in my first semester. A group project was assigned to our group by out ITP professor. Our group decided that we would explore on Web Development and present it to the whole class. Since, i hardly knew anything about Web Development, i chose an obsolete topic. On top of that my presentation skills were very poor. So facing the whole class was very embarassing to me. Eventually i ended up spoiling the presentation. That was the time when i was criticised for my work.",Has anyone used this with a web development,3,2
What has been your best career move so far?,I think joining IIITB has been my best career decision so far.,Has anyone had any experience with the best career career workout?,3,3
"Have you worked with someone unprofessional, how did you handle it?",I am a fresher so till now I have no idea of how things go on in a corporate world. That's why I can't answer this question very well.,"in a corporate world , what is a fresher fresher ?",1,1
What is the biggest challenge you have faced so far?,"In B.Tech, when I was doing my minor project. We somehow got a wrong problem statement, and a lot of time was wasted. We didn't had enough time to complete the project. Then with the help of my group members, we were able to deliver it on time.",how long does it take to complete the project,3,2
How do you handle change?,"It is said that change is the only constant in life, which is funny because it takes time to adapt to change. I am an optimist; so any change that occurs, I generally see it as a good one. But, more often than not, the opposite happens. I guess, to answer the question, all I can say is that I try to keep an open, unprejudiced mind about why the change is taking place and try my best to adapt to it in ways that benefit me.",what is the only constant in life ?,2,1
Where do you see yourself five years from now?,"I see myself as an in-charge of project. Managing the project, and delivering the expected output.

Apart from work, I see myself as a more mature and calmer person five years from now.",How do you know if the project output is delivering the expected output and delivering out?,2,3
What matters to you more - job satisfaction or salary?,"Well, for me job satisfaction is the MAIN thing that matters. I cannot imagine myself doing some work that does not interest me, just for the sake of money. I am not saying that money doesn't matter. It does, to some extent. For example, I would be, in few years from now, working for a company that works in the area of my interests (compilers), which pays a decent amount as a salary to me. I am saying this because, I have worked hard to get to the stage where I am right now, and wouldn't want to go it for waste. On the other hand, I also plan to open an institute to teach students music, for free :)",what does money does money does not do ?,1,1
What are your views about further studies?,Further studies is necessary for anyone who is interested in getting the in-depth knowledge of his field of interest.,what is the depth of interest in interest,2,3
How would you be an asset to this organisation?  ,"I might be an asset because I put in my best to any work I take up. I am not shy of speaking my mind when necessary take it well when any positive criticism is directed at me. I would not say that I know everything and I am always keen to learn more. I think this job will help me to learn more and therefore, I am looking forward to it. ",what is your mind about your mind ?,1,1
What do you do if you disagree with your boss?,"To disagree is natural and healthy, I believe. We would hardly progress if everyone just agreed with each other and remained passive. But there is a polite, non confrontational way to go about voicing your disagreement. If I had a disagreement with my boss, I would voice it. The manner in which I'd voice is albeit respectful would vary a little depending on the personality of my boss. If he/she were an open, friendly, approachable boss, I would be a little more frank and specific about my disagreement and maybe go so far as to offer alternatives and suggestions. If the boss is a little more reserved and less open to suggestions, I would subtly make my opinion known and take it forward based on the reaction.",what is non confrontational way ?,2,2
Where do you see yourself five years from now?,"Five years from now,with some very useful industry experience with me, I see myself teaching in some good college or pursuing a Phd from some good university which would further help me pursue my dream of teaching.",Would this be useful for a dream college college student?,2,1
"Have you worked with someone unprofessional, how did you handle it?","Not sure, if I can call it unprofessional, but my team 'sanskriti' the team of cultural Committee of the college and my other team -'Sahyog' the team of Mentorship Club of the college was a bit unprofessional. Handling such a team was a little tough as it use to happen many times that we have a meeting and then we come to a conclusion and the tasks are allotted to the juniors with some deadline dates. but they are not finished by that time, and many time, youhave to come forward, and either make it done by other set of juniors or sometimes do it by your own.",what is the name of the sanskriti club ?,2,1
Tell me about a time when you misjudged a person.,"Once I was put in a team with a guy who was famous for not doing any work throughout the project. I was very unhappy because I knew I will have to work alone day and night to finish the project. I never talked to him properly about work, but one day I was stuck at a part in the project. He helped me out of it. I think I misjudged him, but actually he knew a lot about software engineering. ",Do you think this would work well in a team for a guy who is put in the field?,2,3
What is the biggest challenge you have faced so far?,"I was totally new in data science field. I like this area but i don't have that much idea about it. But I have to select specialisation within one day. I don't have sufficient time to think over that. I was completely new in this field. I am so much confused and don't have any idea about anything. So, I communicated with seniors and faculty members to know that what is actual going in each subject. After basic idea of each course, i started surfing about details of each topics on google. After getting clear idea about everything i selected my liking specialisation.  ",Is this totally new in science or is it totally refurbished?,3,3
What motivates you to do a good job?,"Good job is itself a motivation to work. Comfortableness, security, payment, flexibility, work, encouragement, appreciation motivates to work for any employee. If the mentioned qualities are satisfied, i think everyone will be motivated to work.",Would the security flexibility work well for security purposes?,2,2
What do you do if you disagree with your boss?,"To disagree is natural and healthy, I believe. We would hardly progress if everyone just agreed with each other and remained passive. But there is a polite, non confrontational way to go about voicing your disagreement. If I had a disagreement with my boss, I would voice it. The manner in which I'd voice is albeit respectful would vary a little depending on the personality of my boss. If he/she were an open, friendly, approachable boss, I would be a little more frank and specific about my disagreement and maybe go so far as to offer alternatives and suggestions. If the boss is a little more reserved and less open to suggestions, I would subtly make my opinion known and take it forward based on the reaction.",Is this a polite disagreement,3,3
Can you describe a situation in which you made a decision and it was a failure ? ,We had to come up with a idea for a project last semester. I think I tried to force my opinion on my team mates. I wanted them to follow my approach and that didn't turn out well. I realised that I was being very controlling over them and then I gave up. I opened my mind to their suggestions and we came up with a plan together.,what did bell move your mind to ?,2,1
How would you convince your client with your ideas?,I would describe my idea and explain him the novelty of the idea. I would request one day and make a presentation of how to implement this idea and how can the organization can be achieved from it. I would explain him the feasibility.,what did you believe can be done from it ?,3,3
"Have you worked with someone unprofessional, how did you handle it?","Not sure, if I can call it unprofessional, but my team 'sanskriti' the team of cultural Committee of the college and my other team -'Sahyog' the team of Mentorship Club of the college was a bit unprofessional. Handling such a team was a little tough as it use to happen many times that we have a meeting and then we come to a conclusion and the tasks are allotted to the juniors with some deadline dates. but they are not finished by that time, and many time, youhave to come forward, and either make it done by other set of juniors or sometimes do it by your own.",what is the name of the sanskriti club ?,3,1
Describe a difficult work situation / project and how you overcame it.,"In one of my projects there's a  very short span of time in which we have to complete it. my teammates are taking a lot of pressure of time because of which they have lost their cool head and not able to work properly. So i tried to calm then down by saying we can do it. we are capable of doing this thing in time. I also said them don't take pressure as long as we are giving our 100 percent to achieve it, it should be fine there",what do your want to do ?,2,1
 Give an example of a goal you did not meet and how you handled it.,"We have one project module as a part of Training while i was woking with infosys. I was selected as a project lead for that project. I was not able to deliver that project on time because I was more focused on the optimization and performance part of the application. On the day of Demo of the project, I discussed with the head and explained her why I was not able to deliver it. She was impressed with the way we were going but explained me that timely delivery is more important. She gave us 2 more days and during that we were able to deliver the project.",what is a part of training ?,1,2
How do you handle change?,I have learned to be quite accepting of change and am always quickly ready with new plans to handle the changed scenario.,how did you view change to handle the change in change ?,2,1
Tell me about a time you took the lead in a team project. What was the project outcome?,"We have took part in a hackathon  and our team needed to work on the project for 24 hrs, me being the team lead  had to manage the work in the limited time. I have distributed the work according to the capabilities of the person and made sure that the work being done is perfect. we have completed the project within the deadline and they we really satisfied with the idea and the work. We won the hackathon and won the first prize, which made me and my team the best among all the teams that have participated fro Bangalore .",Has anyone completed the project within the work process?,2,2
What is the biggest challenge you have faced so far?,"In B.Tech, when I was doing my minor project. We somehow got a wrong problem statement, and a lot of time was wasted. We didn't had enough time to complete the project. Then with the help of my group members, we were able to deliver it on time.",how long does it take to complete the project,3,3
What is the difference between hard work and smart work?,"Hard work and smart work are entirely different things. Although they are independent things, having existence on their own, smart work can result from hard work. So the major difference is that even though someone works really hard on something, there is necessarily no need that his/her resultant work should be something worth considering smart. Smart work comes as a result of careful and intelligent thinking followed by precise application of those ideas. This might involve a lot of hard work even though it is not necessary. ",what can result from hard work ?,3,3
Tell me about a time you took the lead in a team project. What was the project outcome?,"We have took part in a hackathon  and our team needed to work on the project for 24 hrs, me being the team lead  had to manage the work in the limited time. I have distributed the work according to the capabilities of the person and made sure that the work being done is perfect. we have completed the project within the deadline and they we really satisfied with the idea and the work. We won the hackathon and won the first prize, which made me and my team the best among all the teams that have participated fro Bangalore .",Has anyone completed the project within the work process?,3,3
How would you be an asset to this organisation?  ,I can assure a fruitful effort from my side. I assure proper utilisation of time and skills from my side. The organisation's  growth through my small efforts will be my ultimate goal. ,what do you do to proper utilisation ?,2,2
Have you ever made a mistake? How did you handle it?,"Yes sure i have made mistakes. The mistake of which i can recall is that of taking a year gap after twelfth standard for preparation of competitive exams. I was not that confident enough for taking the drop and also had no motivation initially. Even i suffered from illness in the mid too. I handle it in the way that i always had good faith in me, prepared hard for the exams never left hope and just went on for it. In the end this dedication gave a fruitful reward too.",what did you have to handle in his exams ?,1,1
Are you a risk taker or do you stay away from risk?,I like to think about the situation and at times I do decide to do something that's risky whereas at other times I play safe.,Is this safe to use at all times?,3,3
Do you consider yourself successful? Why?,"Yes I consider myself a successful person. I believe success is not just achieving. The success of a person lies in the way the life is oriented. More than that, if you are a person of high character, who can see others through you, there lies the success of a person. Also the physical aspects add to th",is it good for a successful person,3,3
In what ways are you an organised or disorganised person?,"I would consider or rather i would prefer an organised lifestyle. I keep my things clean and in proper organised place, which helps me in finding my things easily. I also plan my week using a weekly planner and try my best to achieve my weekly goals by following it. these are two examples to say that i am an organised person.

But life is not sunshine and rainbows as Sylvester Stallone says! I do procrastinate sometimes, go off the schedule and relax more. There are days where i missed my breakfast and slept for nearly 10 hours, which could be a possible example to say that i am a disorganised person sometimes.

Overall, i will consider myself as an organised person!!",Would you prefer this to an organised or would you consider it too babyish?,2,2
What matters to you more - job satisfaction or salary?,"Job satisfaction and salary are two major factors which I consider when choosing a job. I define a minimum threshold for each of them. I would prioritize job satisfaction over salary because your job description, peer group and environment at work influences your productivity and happiness in a major way. I do respect the importance of money and therefore would expect the salary to be above a realistic minimum threshold which I've set.",What is the difference between job and salary,2,1
Describe a decision you made that was a failure. What happened and why?,"In my First year at IIIT- Bangalore, we had a course called Introduction to Profession. As part of this course we had a project which was to be done by a group of 4 students. The team was randomly chosen and I did not know much about my teammates. When we met to work on our project, we decided that it made sense to divide the work amongst ourselves, in order to prevent repetitions. So we charted our future plan as to how we wanted to proceed with the project and each of us chose an area which we were most excited about without any problems. As promised I did my part of the work as per plan, but sadly some team mated did not meet the deadlines. However they also did not communicate this with the other team mates till the end. During the regular progress check meetings that we had, we just orally assured the others that everything was going fine  and even if it was not for some team mates they said that everything was under control and I did not bother to cross check. I think this is a mistake on my part. When the time had come to integrate everyone's work, it became clear that one of our team mate did not generate much progress due to which our project on the whole could not be completed. The mistake I have made here is to not verify and check the progress made periodically and just believed the oral assurances. also since I was a in my first year I did not know about my team mates and how knowledgable and trust-worthy they are. At the end, the other team mates worked extra time to compensate for the incomplete work and we could finally complete our project on time.",Are there any progress check meetings assured that the progress meetings are going to get fine ,1,1
Who has inspired you in your life and why?,"There are many inspirations across the various walks of life, but if I were to choose one single person, it would be my father. He has singlehandedly supported his family ever since he was a teenager and continues to do the same, without the slightest sign of discomfort. He has shaped me up to be the man I am.",Is there more than one person?,1,1
"If you could learn some new skill, what would that be?","I am a very curious person by nature. I am always eager to learn new things. This question has brought up myriad of new skills which I would love to learn. However, given an opportunity, the first skill that I would love to learn is the skill to analyze languages which forms a major part of computational linguistics. Also, I am very eager to know about the latest technologies in the field of computational linguistics.

Given an opportunity, I would also love to learn hip-hop dance!",what is this question ?,3,1
How would you be an asset to this organisation?  ,"I might be an asset because I put in my best to any work I take up. I am not shy of speaking my mind when necessary take it well when any positive criticism is directed at me. I would not say that I know everything and I am always keen to learn more. I think this job will help me to learn more and therefore, I am looking forward to it. ",Does it have positive criticism,2,2
Why shouldn't I hire you?,"One problem in my nature is that I get easily distracted from my work if I am not in my workplace. So if you are a company which purely has work from home culture, you wouldn't want to hire me. On the plus side, if you have a lab like environment in the office, I end up forcing myself to work in the lab as it provides me the right environment to work on.",Will this work on a workplace,1,1
Describe a decision you made that was a failure. What happened and why?,"In my First year at IIIT- Bangalore, we had a course called Introduction to Profession. As part of this course we had a project which was to be done by a group of 4 students. The team was randomly chosen and I did not know much about my teammates. When we met to work on our project, we decided that it made sense to divide the work amongst ourselves, in order to prevent repetitions. So we charted our future plan as to how we wanted to proceed with the project and each of us chose an area which we were most excited about without any problems. As promised I did my part of the work as per plan, but sadly some team mated did not meet the deadlines. However they also did not communicate this with the other team mates till the end. During the regular progress check meetings that we had, we just orally assured the others that everything was going fine  and even if it was not for some team mates they said that everything was under control and I did not bother to cross check. I think this is a mistake on my part. When the time had come to integrate everyone's work, it became clear that one of our team mate did not generate much progress due to which our project on the whole could not be completed. The mistake I have made here is to not verify and check the progress made periodically and just believed the oral assurances. also since I was a in my first year I did not know about my team mates and how knowledgable and trust-worthy they are. At the end, the other team mates worked extra time to compensate for the incomplete work and we could finally complete our project on time.",Has anyone else had a problem with the progress and progress made periodically and check progress periodically when believed believed,1,2
How would you convince your client with your ideas?,"First, I would prepare myself for the potential questions.I would try and avoid a lengthy PPT stuff and prepare a very short presentation with mostly diagrams and very less text. May be present some case study where in the idea would have provided a much better solution than the one currently available. ",what would be present in the idea of case ?,3,3
How will you make the best of this job?,I will work hard and put my heart and soul into it to make the best of this job.,what is one of your goals ?,3,3
What matters to you more - job satisfaction or salary?,"As far as I am concerned, job satisfaction is more important. I don't think a huge salary alone can keep one satisfied with one's job. If we don't enjoy what we are doing then there is no point in doing what we do and there's no justice done to the work either. ",do you think this would keep one satisfied with one salary,2,1
"Have you worked with someone unprofessional, how did you handle it?","During my B-Tech final semester internship, I have experienced unprofessional behavior.  I did not do anything to show my displeasure, instead, I kept behaving professionally. It didn't solve the issue, but did reduce the magnitude to some extent. ",how did you view behaving ?,2,1
What obstacles or difficulties have you ever faced in communicating your ideas?,"Sometimes it happens that I am unable to express what I want to tell because of demotivation from other parties. But still I don't lose hope and stick with my ideas and try to explain that in some innovative and real examples. One day, I and my project partners were discussing on project idea. At that time, my idea was good and new but problem was that I don't have any proof to prove that my idea will work very well. But after some days of research, I found actual proof that it is possible to implement and then we all would agreed on that topic. For the newer person, it is natural to have some difficulties in communicating but after some efforts you will surely get confidence to explain it in better way. ",what did you believe was good and new about your idea ?,3,3
How did you handle meeting a tight deadline?,i generally don't postpone my work till the deadline. I am conscious enough and plan everything in advance and manage the things to avoid any last minute tensions. ,Do you have to plan to manage the last last minute tensions,2,3
What is the difference between confidence and over-confidence?,"Confidence is when somebody knows his or her shortcomings and  he or she is willing to accept any outcome which may not match with his/her expectations. A confident person is very well aware of the non-trivialities in any matter and can smoothly act on them . Confidence in doing any job is obtained when after practicing a lot he is sure of the outcome because the neural pathways are consolidated. for example a student is confident in taking an exam when he has practiced and studied intensely for an exam and he is sure he will be able to tackle any type of problem. 
Overconfidence is pseudo-confidence i.e pretending to have an upper-hand  in something inspite of lacking substantial knowledge about that particular thing, an overconfident person is ready to disregard any non-triviality in any matter solely based on his false pretences that he can tackle any matter no matter how difficult it is. ",what is a student of a student ?,2,1
Who has inspired you in your life and why?,"My inspiration for life are my parents, my teachers and a lot of famous personalities like APJ Abdul Kalam, Arnold Schwarztneger, Roger Feder. My parents are my greatest inspiration they taught me how to lead a beautiful life. My teachers fascinated me with knowledge which made me curious and ask question about everything. Especially my plus two teachers who motivated me towards studies. Unlike person I meet in person there are people like Federer whose passion and consistencty and hard work motivated me a lot. And his fighting spirit during failure helped me over come my bad times.",what kind of work are federer ?,1,1
Explain how would you be an asset to this organisation?,I would be an asset as I will put in my best effort. I will do the share of work allocated to me efficiently. I will try to create a friendly environment within the organization.  ,what does you do to me efficiently ?,2,2
What are the strategies you think one should have to perform well in such an interview?,In an interview one must have to be confident and fell like he talks to a person not to a system . So that  he gets the feel  of real communication and he can make his point clearly to the system.,what must a person do to a system ?,2,1
"Do you have problems working on weekends, if the work demands?","I have not had any exact working experience because I'm still just a third year student here as an Imtech. It would depend on the work atmosphere and the work I'm doing. If I like the job I am doing, I wouldn't mind working on weekends when work demands. ",how good is the job,3,2
"Do you have problems working on weekends, if the work demands?","I have not had any exact working experience because I'm still just a third year student here as an Imtech. It would depend on the work atmosphere and the work I'm doing. If I like the job I am doing, I wouldn't mind working on weekends when work demands. ",how good is the job,3,2
Why shouldn't I hire you?,You shouldn't hire me if you felt that  I am not good enough to complete the tasks. ,Is there a way to complete the tasks for ,1,2
How will you perform under pressure? Will it affect your performance?,"I am used to working under pressure after joining in IIIT B. Before IIIT B, pressure kind of gave me tension which automatically switched off my brain. Now i am used to it. Pressure happens if one don't work everyday, and keeping everything to the last. I am not doing that anymore, I started working early and trying to finish my work few days before deadline which is kind of helping me to be away from pressure.",what did you do to finish your work ?,3,2
What is the difference between confidence and over-confidence?,"Confidence is something that is required to motivate ourselves to achieve something that we desire. Confidence is a must in everyone to be able to carry forward something saying-'You are able enough to do it' to yourself.
Overconfidence is you being over everybody else in whatever you think you are trying to achieve.When you feel that I don't find anybody but me capable enough and becomes over excited, that is over confidence. 
Confidence is something you should have, while the other one better stay away.","Is it able to carry forward and forth, or is it only for looks?",2,2
What do people most often criticize about you?,I am generally good to everyone and try to make them and myself happy about any stuff we talk about. When i have any quarrel or fight with anyone i excuse them after sometime. But the other person sometimes take advantage of this quality of mine and starts or makes a new issue and fights back. ,how did you compare to everyone ?,3,3
How would you be an asset to this organisation?  ,I can be an asset to this organisation by contributing my knowledge and skills whenever and wherever its required. I will put my hard work and full dedication to achieve the goal and can make good interaction with people in organisation so as to create a good understanding to work together efficiently.,what is the goal of your work ?,2,3
What is the difference between confidence and over-confidence?,"Confidence is one which lets a person break his inhibitions and attain great success . However , overconfidence is a trait which when persued makes a person arrogant and blind to the others ideas and respect. ",Is this blind trait,3,2
Where do you see yourself five years from now?,"I see my self as a happy well settled man with a good job in the IT sector , with a family and a car and house of my own.",what kind of job is you west ?,2,2
 Give an example of a goal you did not meet and how you handled it.,"We have one project module as a part of Training while i was woking with infosys. I was selected as a project lead for that project. I was not able to deliver that project on time because I was more focused on the optimization and performance part of the application. On the day of Demo of the project, I discussed with the head and explained her why I was not able to deliver it. She was impressed with the way we were going but explained me that timely delivery is more important. She gave us 2 more days and during that we were able to deliver the project.",what is a part of training ?,3,1
Describe a decision you made that was a failure. What happened and why?,"In my First year at IIIT- Bangalore, we had a course called Introduction to Profession. As part of this course we had a project which was to be done by a group of 4 students. The team was randomly chosen and I did not know much about my teammates. When we met to work on our project, we decided that it made sense to divide the work amongst ourselves, in order to prevent repetitions. So we charted our future plan as to how we wanted to proceed with the project and each of us chose an area which we were most excited about without any problems. As promised I did my part of the work as per plan, but sadly some team mated did not meet the deadlines. However they also did not communicate this with the other team mates till the end. During the regular progress check meetings that we had, we just orally assured the others that everything was going fine  and even if it was not for some team mates they said that everything was under control and I did not bother to cross check. I think this is a mistake on my part. When the time had come to integrate everyone's work, it became clear that one of our team mate did not generate much progress due to which our project on the whole could not be completed. The mistake I have made here is to not verify and check the progress made periodically and just believed the oral assurances. also since I was a in my first year I did not know about my team mates and how knowledgable and trust-worthy they are. At the end, the other team mates worked extra time to compensate for the incomplete work and we could finally complete our project on time.",what did you think we just orally ?,1,1
 Why shouldn't I hire you?,I don't give up easily on a thing. I try to explore all the avenues before calling it quits and sometimes it may result in time wasted. I realise that sometimes it's easier to give up because another way exists but I have a tendency to explore everything on a particular approach. I am trying to improve over it by taking it easy on myself if I don't complete a job and switch to next. as I am trying to realise on how wasted efforts are costlier. I have a short temper if work doesn't happen as it was supposed to happen. Earlier I would get worked upon very small things but now I have started practicing meditation to smoothen my transition and be more patient.,Is this easier to explore on a approach,3,2
Tell me about a time when you misjudged a person.,"I trusted a teammate assuming he had integrity, however he took credit for work he didn't do",what did you do for work ?,3,1
Who has inspired you in your life and why?,A lot of people have inspired me but mainly i would like yo say that my father is my inspiration. I have grown up watching him and i aspire to be like him in future,Is this a good inspiration for a lot of people?,3,3
What is the biggest challenge you have faced so far?,"During my first job, I was not very good at programming. So in order to not appear unskilled' before the people i spent extra efforts to learn the same. '",is it good for extra efforts,3,2
"If you have problems at your workplace, how and to whom would you communicate it?","If I am having some problem at my workplace i will first communicate with my team lead, and then i will communicate to HR manager.",what is your first goal ?,3,1
