Answer,Extracted Keywords,Followup Question
I do not have a particular instance. But many times the principle innocent until proven guilty' principle which i follow hasnt been true.',true .' proven guilty particular instance many times follow hasnt principle innocent principle ,Why ?
"When I was working with Cognizant, there were times when there was an increase in the work load because of unanticipated events. This happened more than once when I was working. In such situations, I at a few times, took up additional work, for example, of modifying a piece of software which was used to automate the testing process by the whole team. I also took initiatives to work on harder and more complex modules and that I think helped our team to meet the deadlines and goals at such tough times.",also took initiatives unanticipated events think helped testing process complex modules work load additional work whole team tough times took work times team working used software situations piece modifying meet increase harder happened goals example deadlines cognizant automate ,Why ?
"I am a risk taker. After I failed to clear JEE first time, though I had some other good college option, I risked taking a year drop. After an year, I failed to clear JEE again, but ended up in a better college which I wouldnt have got the first time. I like to take risk, because, whatever might be the outcome, I dont like to give up before even trying it.",clear jee first time good college option first time clear jee better college whatever might take risk risked taking risk taker even trying year drop dont like year like wouldnt though outcome got give failed ended ,Do you think taking a risk has been a mistake?
"The first thing that comes to my mind, is the inter-school event in which I had participated during my 11th Std studies. We were a team of 5 students, and we had to pick a theme for fighting climate change. Global warming was the buzzword in those days. We chose 'Sustainable Development' as our theme, and made models to depict different ways in which sustainable energy can be generated. The entire event was almost one month long and the five of us enjoyed it as well as learnt a lot, as it was our first experience of the 'professional' outside world.",almost one month long fighting climate change depict different ways 11th std studies us enjoyed sustainable energy sustainable development school event outside world made models global warming first thing first experience entire event 5 students well theme team professional pick participated mind lot learnt inter generated five days comes chose buzzword ,Why ?
"If I could relive the last 10 years of my life, I would instead of focusing just on my academics, I would also like to give time to other things which I didn't. I was a good football player in my childhood and now a days I feel I should have continued playing football. I am also a good swimmer. I would like to to better in sports. Also I think I would spend more time making moments with my family and friends which I would remember for my life. As far as academics is concerned, I would like to practically do what i am learning theoretically. In my B.Tech. I studied a lot by later in my graduation I realized that I lack practical implementations. While I was working in SAP, I felt my practical knowledge could have been better and since then I am more focused on practical implementations rather than just theory.",practical implementations rather last 10 years lack practical implementations continued playing football time making moments practical knowledge could good football player would also like would like good swimmer give time could relive would spend would remember would instead learning theoretically also working think things theory tech studied sports since sap realized practically lot life later graduation friends focusing focused felt feel far family days concerned childhood better b academics ,How do you feel about your own success?
I can tell about an incident where I have convinced my friends who happened to be my project mates to take up the idea for our project which they were not willing to initially. I then explained them the advantages of taking it up and they finally agreed.,finally agreed project mates project willing tell taking take initially incident idea happened friends explained convinced advantages ,How would you convince your client with your ideas?
"I am actually more interested in salary than job.but that doesn't mean that I am not interested in my job. My first preference goes to salary and then job.generally good salary means a good job in a big company but the burden is more.I like to work in big companies even when there are loads of work.job satisfaction is obtained when every aspect of work we do satisfies us which is impossible.so,it is salary that matters more for me.",generally good salary means first preference goes big companies even good job big company satisfies us every aspect job satisfaction salary job work obtained mean matters loads like interested impossible burden actually ,Are you interested in salary?I am not.
"I feel great about that. I appreciate hisher hard work and intelligence for having them reached to a senior position at an young age. I will surely take good from that young person, collaborate and learn things.",appreciate hisher hard work surely take good young person young age senior position learn things feel great reached intelligence collaborate ,Do you think you would have the same reaction?
"Strengths: 1 I am a confident risk taker and prefer calculative risks over random experiments. 2 I can handle stress very well, I tend to deal with the most daunting of tasks while being quite calm and composed. 3 If I get fond of a particular subject, I make sure that I have got thoroughly gained all the knowledge which the subject has on offer. Weakness: 1 I am a perfectionist, I prefer executing each of my tasks with utmost level of perfection which in most the cases tends to irritate my colleagues and friends. 2 I have ObsessiveCompulsive Disorder, due to which its next to compulsory for me to have all my stuff well sorted much to the disliking of my friends. 3 I am very choosy, only some of the subjects get my interest and I tend to be quite lethargic about the subjects which are out of my interest zone.",stuff well sorted much got thoroughly gained confident risk taker prefer calculative risks prefer executing utmost level random experiments quite lethargic quite calm obsessivecompulsive disorder make sure handle stress get fond cases tends subjects get particular subject interest zone well subjects subject interest weakness tend tasks strengths perfectionist perfection offer next knowledge irritate friends due disliking deal daunting compulsory composed colleagues choosy 3 2 1 ,How do you feel about your own success?
hardwork means we put in all our efforts to every thing that we need to do without prioritizing them while smart work means prioritizing our work on the basis of what we are actually doing into various subparts and then deciding how much time and effort do we need to put in each of these subparts. But this does not mean we forget hardwork while focusing on smart work. hardwork is required but in a smarter way.... this is the key idea of smart work,smart work means prioritizing smarter way .... smart work without prioritizing hardwork means much time key idea every thing forget hardwork various subparts work hardwork subparts required put need mean focusing efforts effort deciding basis actually ,Do you think the best of us can be counted on to be smart when it comes to our own work?
I would describe my idea and explain him the novelty of the idea. I would request one day and make a presentation of how to implement this idea and how can the organization can be achieved from it. I would explain him the feasibility.,would request one day would describe would explain explain presentation organization novelty make implement idea feasibility achieved ,Where would you go?
"I had to, when we were brainstorming ideas for a hacking session. I first tried to understand their concerns and requirements. Later I pitched my idea in accordance to that. I ensured that I understood and answered all their queries.",hacking session first tried brainstorming ideas understood understand requirements queries pitched later idea ensured concerns answered accordance ,Why ?
Partially. Have a lot of things that I haven't achieved yet.,achieved yet things partially lot ,What are your goals?
"When I was working with Cognizant, there were times when there was an increase in the work load because of unanticipated events. This happened more than once when I was working. In such situations, I at a few times, took up additional work, for example, of modifying a piece of software which was used to automate the testing process by the whole team. I also took initiatives to work on harder and more complex modules and that I think helped our team to meet the deadlines and goals at such tough times.",also took initiatives unanticipated events think helped testing process complex modules work load additional work whole team tough times took work times team working used software situations piece modifying meet increase harder happened goals example deadlines cognizant automate ,Why ?
"Yes, I consider myself as lucky as I have many things that some people do not have. I have my parents to guide me, friends to support me and many more. I also think that I am lucky because of some life events I experienced like, I was preparing for GATE along with B.Tech final year, my preparations were not up to the level, but then the paper was not difficult in 2015 and I made it to IIIT-B.",tech final year life events gate along experienced like also think many things many yes support preparing preparations people parents paper made lucky level iiit guide friends difficult consider b 2015 ,Do you think you were lucky?
"I would have been more open than reserved. In addition, I would pursue my hobbies apart from my research interest.",research interest hobbies apart would pursue would reserved open addition ,Why ?
"Well, to err is human. So yes, i have made mistakes be it on personal or professional front. As per me, committing mistakes is not bad , the evil is to not accept it. In most of the cases as i can recall, if i have realized my mistake i would accept it and would try to minimize its damage. So , if it",would try professional front made mistakes committing mistakes would accept accept yes well recall realized personal per mistake minimize human evil err damage cases bad ,Where to do i try to minimize my mistakes?
"I love to play cricket , badminton.I am also active trekker.I am an active member of various trekking clubs in Bangalore.",various trekking clubs also active trekker active member play cricket love bangalore badminton ,Why do you think that is?
"The goal of the project has to be met which involves customer satisfaction. Though I have not had a work experience, I have tried to meet various goals to the best of my efforts. As a chairperson of the student branch, I have always tried to ensure that all students enrolled in workshops receive satisfaction. When the branch was in its infancy, we did not have proper infrastructure to address the grievances and in such cases, I have personally contacted all the enrolled students to inform them and get their feedback.",workshops receive satisfaction meet various goals involves customer satisfaction work experience students enrolled proper infrastructure personally contacted enrolled students student branch always tried tried branch though project met inform infancy grievances goal get feedback ensure efforts chairperson cases best address ,Where do you see the future for the school?
"I am pursuing M.Tech. I opted for this because I felt the need to fill in the technical gaps, to understand how an Industry works and what Industry expects from graduated like myself. As now I feel my requirements are met. I don't have any motivation for studying further, as of now. In future, may be.",technical gaps industry works industry expects graduated like understand tech studying requirements pursuing opted need motivation met may future fill felt feel ,Are you willing to put your life at stake to get the job done?
"I love watching cricket. I like to play volley ball, shuttle. I listen to songs. I have got an artistic inclination. I love to help people grow. I love to do adventures and be adventures.",play volley ball help people grow love watching cricket artistic inclination love songs shuttle listen like got adventures ,Where ver
"If I have problems at my workplace, I would not make haste in complaining. Instead, I would calmly analyze the problem first. I would try to look at it from different perspectives and would try to find a solution that considers everyone's needs. I'll first talk to the colleagues with whom I have problems with. I'll approach the higher authorities only when this approach doesn't work. I would also take advice of my parents as they are much more experienced than me.",would also take advice would calmly analyze would try problem first make haste higher authorities first talk different perspectives considers everyone would workplace work solution problems parents needs much look instead find experienced complaining colleagues approach ,Do you know why?
"Yes, I consider myself successful. I have an excellent job and able to do justice to my work successfully",work successfully excellent job yes successful justice consider able ,How do you define success?
I will learn some sort of dancing style. I love to dance and i think that is a great stress buster and you get comfortable in your body. It helps relax.,great stress buster helps relax get comfortable dancing style think sort love learn dance body ,Are you a dancer?
"Once I was asked to make a project design to present client with the screens and a short demo. I was told by my manager to stick to the instructions he gave to prepare slides. But I thought to show my creativity in the way so that manager as well as client are well satisfied. So, I followed his decisions but also made certain amendments so that the presentation looked much better.",presentation looked much better also made certain amendments short demo project design prepare slides well satisfied present client well client way told thought stick show screens manager make instructions gave followed decisions creativity asked ,Are you ready for the final product?<|endoftext|>The U.S. Supreme Court has struck down a federal law
"In my opinion a person earns respect and stature based on the hisher pool of knowledge, and age is just a number when it comes to gaining knowledge. So, if a person is much more knowledgeable than me in a particular field then I feel that he deserves all my respect and admiration even if heshe is much younger than me. Hence, I would have no regrets working under a much younger yet highly knowledgeable team lead as it would provide me with an opportunity to learning something new each day and subsequently enhance my personal pool of knowledge.",much younger yet highly knowledgeable team lead learning something new much younger person earns respect subsequently enhance stature based regrets working personal pool particular field knowledgeable hisher pool admiration even would provide gaining knowledge much respect person would knowledge opportunity opinion number heshe hence feel deserves day comes age ,"Where I am now in my career, I have been working under a team lead who has a much more"
"During my B-Tech final semester internship, I have experienced unprofessional behavior. I did not do anything to show my displeasure, instead, I kept behaving professionally. It didn't solve the issue, but did reduce the magnitude to some extent.",tech final semester internship kept behaving professionally experienced unprofessional behavior solve show reduce magnitude issue instead extent displeasure b anything ,How do students handle unprofessional behavior?
"If there occur situations when I lose hope or get down, I quickly get back to form and try completing my unfinished work. I try to encourage myself in doing and exploring new things. I am a very good learner, and if something really interests me, I don't leave it. I try to finish all the work in time and get started with new ones. A plus point in me, that I believe, is that since I am a musical person, I tend to have more concentration power than my peers non-musical ones.",something really interests exploring new things quickly get back new ones plus point peers non occur situations musical person musical ones lose hope good learner get started concentration power unfinished work try completing get work try time tend since leave form finish encourage believe ,How would you describe your musical talent?
"As said 'age is just a number'. If the person who is younger than me is more knowledgeable, I would like to work under himher. If that person has more experience than me, I would take hisher help to become a better person. If there are situations where heshe cannot handle that situation, being elder I would definitely give a helping hand. Sometimes dealing with that person would also depend upon the situation we are facing. I would expect mutual understanding between us.",person would also depend upon would take hisher help would expect mutual understanding would definitely give heshe cannot handle would like better person sometimes dealing number '. helping hand person younger work us situations situation said knowledgeable himher facing experience elder become age ,How can we not have that?
"During a tendering process, where i felt this colleague was being too much of a stickler for details. He was providing too much detail to the customer. But it was this detail-oriented approach which one us the order.",tendering process oriented approach one us much detail much detail stickler providing order felt details customer colleague ,Do you feel you were right?
"There is a quote which goes as, 'The body hates change'. Well, I have seen the quote few years back and realized that our mentality is resistant to change and if we are able to realize that try to change that, then we would be successful in the our field. I am always open to change and I wake up in the morning awaiting changes to my daily routine. That is why I am not a big fan of routine things such as a static time table.'",static time table .' body hates change '. morning awaiting changes years back routine things daily routine big fan always open change would well wake try successful seen resistant realized realize quote mentality goes field able ,Where does this idea that you are always changing come from?
"Sometimes I compromise if some elder person or the person whom I respect wants something on which I don't agree. For example, my grandparents love and they didn't want me to go out of the country for higher studies, so I am doing my masters from India only.I tried convincing them but it was all in vain.In the end the result is that we both are happy.",respect wants something tried convincing higher studies grandparents love elder person person want vain sometimes result masters india happy go example end country compromise agree ,Where did you get your information from?
"First thing,I will be doing a job that i like to do,which is one of my career goals.Next is always being challenged.I am getting these two in this job which will give me happiness and money,which are my ultimate goals",ultimate goals first thing career goals two one next money like job happiness give getting challenged always ,Do you have any tips?
"Hard work can be define as, if you put so much effort on a work . Giving your 100 to it . On the other hand smart work is some what you do the work intelligently , organized way. Like Small effort and maximum output .",like small effort hand smart work much effort work intelligently organized way maximum output hard work work put giving define 100 ,How to do smart work?
I do not have any problem in such condition but actually I can gain a lot from him as being younger he is able to achieve more than me which is as a inspiration to move forward in career.,move forward younger problem lot inspiration gain condition career actually achieve able ,Are you happy to be able to do this?
I'm an M.Tech student who is an allrounder. I specialise in Electronic System Design. Since this organisation builds electronic components I will be able to contribute to the growth of the organisation. I also have good interpersonal skills and I'm a team player. This will help interact with people well and meet the deadlines for projects. All these qualities helped me achieve a lot of awards in my career and I would like to continue the same in this organization.,organisation builds electronic components electronic system design good interpersonal skills would like tech student team player qualities helped people well help interact organisation specialise since projects organization meet lot growth deadlines contribute continue career awards also allrounder achieve able ,Do you have a specific goal for your projects?
"I don't have much experience of being in a professional situation where I had to handle pressure. The ones I had were all during my academic life. I think I handled the situations well without affecting my performance. Most of these situations were related to projects. So, I think it is as close to a professional situation as possible in academic life.",situations well without affecting professional situation much experience handle pressure academic life situations think related projects possible performance ones handled close ,What I learned from this experience was that you need to know your limits and be able to cope with them
"No, I believe in what decisions I take for myself. Even if they are wrong, I don't regret as at a point of time it was me who took that decision.",wrong took time take regret point even decisions decision believe ,How do you feel about your decisions?
I would like my manager to have the quality of hearing and understanding various approaches to a problem rather than giving out their own idea to work on. This would help to approach any matter without much difficulty and getting out the right solution. I would also like them to be understanding situations around them and resolving any difficulties or concerns so that things proceed smoothly and happily which would help in better interactions and team-works.,matter without much difficulty understanding various approaches understanding situations around things proceed smoothly would also like would like would help right solution problem rather better interactions works work team resolving quality manager idea hearing happily giving getting difficulties concerns approach ,Are you able to achieve this in your job?
"It was at the time of C project in my first semester. The whole batch of my class still did not get to know each other and we were still missing those previous days. Then we were asked to do project in programming course. Since people were struggling for their ideas, I decided to help them. I made deal with them like 'If you need the idea you have to owe me a treat'.",whole batch treat '. still missing since people programming course previous days made deal first semester class still c project project time struggling owe need like know ideas idea help get decided asked ,How did I do it?
I would not mind working under a person younger to me if heshe is capable enough. Age would not matter much if that is the case.,person younger mind working matter much capable enough age would would heshe case ,Do you feel that your work will be more interesting with someone younger to you?
Yes. I have good career and happy with where my current position,good career current position yes happy ,Why ?
"Once I was put in a team with a guy who was famous for not doing any work throughout the project. I was very unhappy because I knew I will have to work alone day and night to finish the project. I never talked to him properly about work, but one day I was stuck at a part in the project. He helped me out of it. I think I misjudged him, but actually he knew a lot about software engineering.",work alone day one day work throughout software engineering never talked work unhappy think team stuck put properly project part night misjudged lot knew helped guy finish famous actually ,Are you still in the software industry?
"I have work experience of only 2 years. So, I didn't get a chance to lead a team. But, I was given two freshers when i am just a one year senior to me. My Team lead was confident that i can train them to work in project well and so she gave the job to lead them. I gave my best to teach them stuff and everything is going well. Once i assigned a work to them and asked them to finish it by themselves, they messed up badly. Then our team lead came to the rescue and helped us out. That was the moment i realized the qualities needed for Team lead and started learning from everyone possible on how to become a good leader.",one year senior given two freshers team lead came team lead started learning qualities needed project well helped us good leader going well everyone possible 2 years work experience team lead work train teach stuff rescue realized moment messed job get gave finish everything confident chance best become badly assigned asked ,Why ?
"I believe that Luck favours the Hard working. The reason for me to have this belief is because we usually get what we deserve and we deserve what we work hard to achieve. A person who has worked hard for an interview is more probable to be lucky and selected than a person who has not worked towards it. Without working hard, we may have luck on our side on a few occasions. Also when we work hard we may be unlucky a few times but these are far and few. Thus generally speaking, hard work => luck",hard work => luck thus generally speaking without working hard work hard hard working worked hard luck favours worked towards usually get luck unlucky times side selected reason probable person occasions may lucky interview far deserve believe belief also achieve ,Do you believe in luck?
Yes I had worked with someone unprofessional in my college project. I used to assign him small chunks of work and I used give a timeline to complete that job. In that way I managed to get maximum out of him.,someone unprofessional small chunks get maximum college project used give used yes worked work way timeline managed job complete assign ,What did they ask you?
"Depends on the work. If I am satisfied and happy with the work, if the working environment is positive and promoting growth, I would stick on longer.",would stick working environment promoting growth work satisfied positive longer happy depends ,Why ?
"In one of my projects there's a very short span of time in which we have to complete it. my teammates are taking a lot of pressure of time because of which they have lost their cool head and not able to work properly. So i tried to calm then down by saying we can do it. we are capable of doing this thing in time. I also said them don't take pressure as long as we are giving our 100 percent to achieve it, it should be fine there",work properly short span cool head also said 100 percent take pressure pressure tried time thing teammates taking saying projects one lot lost long giving fine complete capable calm achieve able ,How do you plan on using these techniques when working with teams?
"yes, I think i am a self-motivator, let me tell you about my experience ,when i was in 12th standard i didn't study properly and got less marks but inside i knew i could have got a good score ,after that in engineering i keep on motivating myself. That is how i got somewhat better score.",got somewhat better score got less marks good score study properly 12th standard got yes think tell self motivator motivating let knew keep inside experience engineering could ,Are you a self-motivator?
"I am not very social, which i hear a lot of times from my friends. I am introvert so i avoid going into social gatherings. I have been criticised for this many times.",avoid going social gatherings many times times social lot introvert hear friends criticised ,Why ?
In case of problems at the workplace firstly I will try to deal with it on my own level. If in case I cannot tackle it by myself I will reach my senior or the person who is looks into the issue of that kind. I will let that person know of the situation and ask for the resolution.,workplace firstly cannot tackle person know person try situation senior resolution reach problems looks level let kind issue deal case ask ,Do you know how to handle a situation like that?
I helped others to compromise.We were participating in a hackathon and we had to suggest ideas for that. I believed that my idea was better and asked others to think about it.Finally I was able to convince them by describing them my idea properly an finally they are convinced and we won the hackathon.,suggest ideas helped others asked others idea properly idea think participating hackathon finally describing convinced convince compromise better believed able ,Why ?
"yes, I think i am a self-motivator, let me tell you about my experience ,when i was in 12th standard i didn't study properly and got less marks but inside i knew i could have got a good score ,after that in engineering i keep on motivating myself. That is how i got somewhat better score.",got somewhat better score got less marks good score study properly 12th standard got yes think tell self motivator motivating let knew keep inside experience engineering could ,Are you a self-motivator?
"In my previous company I was appointed as SPOCsingle point of Contact for 'One Custody' team, where I had to handle all the communication between the group members and the managers and leads. Report all the activities and mentor whether everything was on track. That surely was a wonderful experience as it gave me lots of work to do and I enjoyed that time a lot.",mentor whether everything wonderful experience spocsingle point previous company one custody group members work track time team surely report managers lots lot leads handle gave enjoyed contact communication appointed activities ,Are you a person who enjoys working with people?
"In my First year at IIIT- Bangalore, we had a course called Introduction to Profession. As part of this course we had a project which was to be done by a group of 4 students. The team was randomly chosen and I did not know much about my teammates. When we met to work on our project, we decided that it made sense to divide the work amongst ourselves, in order to prevent repetitions. So we charted our future plan as to how we wanted to proceed with the project and each of us chose an area which we were most excited about without any problems. As promised I did my part of the work as per plan, but sadly some team mated did not meet the deadlines. However they also did not communicate this with the other team mates till the end. During the regular progress check meetings that we had, we just orally assured the others that everything was going fine and even if it was not for some team mates they said that everything was under control and I did not bother to cross check. I think this is a mistake on my part. When the time had come to integrate everyone's work, it became clear that one of our team mate did not generate much progress due to which our project on the whole could not be completed. The mistake I have made here is to not verify and check the progress made periodically and just believed the oral assurances. also since I was a in my first year I did not know about my team mates and how knowledgable and trust-worthy they are. At the end, the other team mates worked extra time to compensate for the incomplete work and we could finally complete our project on time.",team mates worked extra time generate much progress due regular progress check meetings team mates till progress made periodically could finally complete course called introduction team mates whole could team mated team mate know much cross check us chose randomly chosen prevent repetitions per plan orally assured oral assurances made sense integrate everyone going fine future plan first year became clear 4 students work amongst incomplete work also since time team check made course work know also worthy without wanted verify trust think teammates said sadly promised project profession proceed problems part others order one mistake met meet knowledgable iiit however group excited everything even end done divide decided deadlines control completed compensate communicate come charted bother believed bangalore area ,Why did you do it?
"Whenever I get the opportunity to help others ,I try to do my best.Like In placement prep for b.tech I used to give session on DS and Algo in my class and try to solve the problems my friends get stuck at.",friends get stuck placement prep help others give session get whenever used try tech solve problems opportunity like ds class best b algo ,Where they have to do a lot of math.
"In my First year at IIIT- Bangalore, we had a course called Introduction to Profession. As part of this course we had a project which was to be done by a group of 4 students. The team was randomly chosen and I did not know much about my teammates. When we met to work on our project, we decided that it made sense to divide the work amongst ourselves, in order to prevent repetitions. So we charted our future plan as to how we wanted to proceed with the project and each of us chose an area which we were most excited about without any problems. As promised I did my part of the work as per plan, but sadly some team mated did not meet the deadlines. However they also did not communicate this with the other team mates till the end. During the regular progress check meetings that we had, we just orally assured the others that everything was going fine and even if it was not for some team mates they said that everything was under control and I did not bother to cross check. I think this is a mistake on my part. When the time had come to integrate everyone's work, it became clear that one of our team mate did not generate much progress due to which our project on the whole could not be completed. The mistake I have made here is to not verify and check the progress made periodically and just believed the oral assurances. also since I was a in my first year I did not know about my team mates and how knowledgable and trust-worthy they are. At the end, the other team mates worked extra time to compensate for the incomplete work and we could finally complete our project on time.",team mates worked extra time generate much progress due regular progress check meetings team mates till progress made periodically could finally complete course called introduction team mates whole could team mated team mate know much cross check us chose randomly chosen prevent repetitions per plan orally assured oral assurances made sense integrate everyone going fine future plan first year became clear 4 students work amongst incomplete work also since time team check made course work know also worthy without wanted verify trust think teammates said sadly promised project profession proceed problems part others order one mistake met meet knowledgable iiit however group excited everything even end done divide decided deadlines control completed compensate communicate come charted bother believed bangalore area ,Why did you do it?
"If your aim is clear, you stay self motivated. Obviously pressure affects when you join a new organization, but I adapt quickly.",stay self motivated obviously pressure affects new organization adapt quickly join clear aim ,Do you know what I do?
When i passed my 12 standard i choose to take admission in one private engineering college rather to follow my family decision to take coaching for iits .I thought this was my failure because i thought all engineering colleges are not much different but later i realized that iits are way better than these colleges so on that very day i decided to qualify GATE exam to do my masters from one of the best college of India.,one private engineering college rather qualify gate exam best college engineering colleges way better take coaching take admission much different family decision 12 standard one colleges thought realized passed masters later india iits follow failure decided day choose ,How i chose to go for this college is because i wanted to be able to do something i had never
If I have any problem at my workplace then first I will try to understand my problem deeply and will try to solve by own if possible . If not I will inform my seniors and will seek for help.,problem deeply problem workplace understand try solve seniors seek possible inform help first ,Why ?
"When I work under a person younger than me, I always follow two important things. Teach him from my experience if he is doing something wrong and second thing is to learn many things from him as he is in higher post then me.",always follow two important things learn many things something wrong second thing person younger higher post work teach experience ,Where do you think your strengths are?
Yes. I have good career and happy with where my current position,good career current position yes happy ,Why ?
"I usually create lot of things at home. I created something like oven,a box kind of thing.when you put something in that it and keeping the entire thing in the sunlight it gets heated in few minutes. It is useful when you want something like pizza,hotdog... heated. and then created some cutting thing",want something like pizza created something like oven usually create lot hotdog ... heated put something gets heated box kind entire thing cutting thing created thing useful things sunlight minutes keeping home ,What is the current situation with our advertising policy?
i created my own fillers in strumming of guitar. filler are added when there is a gap between the two strumming strokes.,two strumming strokes strumming guitar gap fillers filler created added ,What you will need: 14 or 1.5 mm nylon string or any
"When faced with a technical issue, I often go back to my fundamentals in engineering and that helps me immensely. Similarly I feel at ease in explaining the details about my products to people who have some appreciation for the domain in which I am working. But often I am faced with people who have little to no knowledge about the product but sadly are the decision makers. Making things palatable to them is a big challenge",making things palatable often go back technical issue decision makers big challenge often working similarly sadly products product people little knowledge immensely helps fundamentals feel faced explaining engineering ease domain details appreciation ,Are you a developer who wants to make your product easy to understand and maintain?
"Not yet. But I am getting there. Success is a habit. I am still in the process of building consistent habit of learning, fitness, etc.",building consistent habit habit yet success still process learning getting fitness etc ,Why ?
Confidence is something that build faith in ourselves after doing required work at a same time we are not ignoring others capabilities and knowledge. Overconfidence is something that comes because of our ego.Believing in self without doing required work.Consciously or unconsciously we are ignoring capabilities of our compititors,ignoring others capabilities ignoring capabilities self without required work build faith unconsciously time something overconfidence knowledge ego consciously confidence compititors comes believing ,Why ?
Sometimes when there is no one around to motivate me I turn into self motivator.,self motivator one around turn sometimes motivate ,Why ?
The question itself makes no sense for a person who considers work as a part of his life. The real question is how one should balance a persons time allocated for work related activities and his other activities. This in itself is no trivial task and there can never ever be a correct answer for this question. One can always analyse how his current time allocation is and try to balance that according to his or her need. How much should be allocated varies with people but for me a 60:40 where work is given 40 of my time would be optimal.,current time allocation persons time allocated work related activities time would allocated varies trivial task never ever correct answer considers work always analyse real question given 40 work activities question 40 try sense person people part optimal one need much makes life balance according 60 ,Do you agree that this would be optimal?
My passion is to develop technology which is gonna change the world. Besides that i love travelling and want to vist as many countries as possible,many countries love travelling gonna change develop technology world want vist possible passion besides ,How many countries are you a citizen of?
"I am not very social, which i hear a lot of times from my friends. I am introvert so i avoid going into social gatherings. I have been criticised for this many times.",avoid going social gatherings many times times social lot introvert hear friends criticised ,Why ?
"Yes, I am. I constantly push myself to new tasks and challenges that I set up for myself. I sometimes need a little push to start off though, but that is very rare.",sometimes need new tasks little push constantly push yes though start set rare challenges ,Where do you start?
"During my B-Tech final semester internship, I have experienced unprofessional behavior. I did not do anything to show my displeasure, instead, I kept behaving professionally. It didn't solve the issue, but did reduce the magnitude to some extent.",tech final semester internship kept behaving professionally experienced unprofessional behavior solve show reduce magnitude issue instead extent displeasure b anything ,How do students handle unprofessional behavior?
Confidence is the first thing and then good knowledge you should know what you're speaking. Getting to know what kind of interview you are attending before hand and preparing specifically for that will automatically give you some confidence. I usually have a lot of stage fever to talk to a large mass of people.,stage fever preparing specifically large mass good knowledge first thing automatically give usually talk speaking people lot know kind interview hand getting confidence attending ,Where do I start?
People criticize me for talking too much. Yes I am a bit talkative person. But I do talk frankly only to my close friends,bit talkative person talk frankly people criticize close friends yes talking much ,Why ?
Just by explaining benefits of my way of doing the job and how he will get benefits from it.,get benefits explaining benefits way job ,How would you convince a client who's not familiar with the industry?
"It happens to me many times.I will share one incident, in my btech 3rd year I knew one girl who was my senior and she do not used to talk to anyone. I thought she is very rude and has so much over confidence.But one day I got injured and at that time nobody was around me but she was there and she got the aid box for me and left her important work just to be assure that I am fine.",btech 3rd year share one incident knew one girl one day time nobody many times important work aid box got injured got used thought talk senior rude much left happens fine confidence assure around anyone ,Do you tell them to stop and ask for an explanation?
"The goal of the project has to be met which involves customer satisfaction. Though I have not had a work experience, I have tried to meet various goals to the best of my efforts. As a chairperson of the student branch, I have always tried to ensure that all students enrolled in workshops receive satisfaction. When the branch was in its infancy, we did not have proper infrastructure to address the grievances and in such cases, I have personally contacted all the enrolled students to inform them and get their feedback.",workshops receive satisfaction meet various goals involves customer satisfaction work experience students enrolled proper infrastructure personally contacted enrolled students student branch always tried tried branch though project met inform infancy grievances goal get feedback ensure efforts chairperson cases best address ,Where do you see the future for the school?
I can learn any programming language since now I am very comfortable with the basics thanks to the experience. Also I am eager to learn machine learning models for high dimensional sparse data. Further i am interested in learning about the usage of GPUs for ML.,high dimensional sparse data learn machine learning models programming language since basics thanks learning learn usage ml interested gpus experience eager comfortable also ,Why ?
