,question,answer,question_keywords,answer_keywords
562,How would you convince your client with your ideas?,I would describe my idea and explain him the novelty of the idea. I would request one day and make a presentation of how to implement this idea and how can the organization can be achieved from it. I would explain him the feasibility.,"would, ideas, convince, client, ","would request one day, would describe, would explain, explain, presentation, organization, novelty, make, implement, idea, feasibility, achieved, "
563,"Have you worked with someone unprofessional, how did you handle it?","Not sure, if I can call it unprofessional, but my team 'sanskriti' the team of cultural Committee of the college and my other team -'Sahyog' the team of Mentorship Club of the college was a bit unprofessional. Handling such a team was a little tough as it use to happen many times that we have a meeting and then we come to a conclusion and the tasks are allotted to the juniors with some deadline dates. but they are not finished by that time, and many time, youhave to come forward, and either make it done by other set of juniors or sometimes do it by your own.","someone unprofessional, worked, handle, ","happen many times, team -' sahyog, mentorship club, many time, little tough, either make, deadline dates, cultural committee, come forward, bit unprofessional, team, unprofessional, time, come, youhave, use, tasks, sure, sometimes, set, sanskriti, meeting, juniors, handling, finished, done, conclusion, college, call, allotted, "
564,Describe a difficult work situation / project and how you overcame it.,"In one of my projects there's a  very short span of time in which we have to complete it. my teammates are taking a lot of pressure of time because of which they have lost their cool head and not able to work properly. So i tried to calm then down by saying we can do it. we are capable of doing this thing in time. I also said them don't take pressure as long as we are giving our 100 percent to achieve it, it should be fine there","difficult work situation, project, overcame, describe, ","work properly, short span, cool head, also said, 100 percent, take pressure, pressure, tried, time, thing, teammates, taking, saying, projects, one, lot, lost, long, giving, fine, complete, capable, calm, achieve, able, "
565, Give an example of a goal you did not meet and how you handled it.,"We have one project module as a part of Training while i was woking with infosys. I was selected as a project lead for that project. I was not able to deliver that project on time because I was more focused on the optimization and performance part of the application. On the day of Demo of the project, I discussed with the head and explained her why I was not able to deliver it. She was impressed with the way we were going but explained me that timely delivery is more important. She gave us 2 more days and during that we were able to deliver the project.","meet, handled, goal, give, example, ","gave us 2, one project module, timely delivery, project lead, performance part, project, part, woking, way, training, time, selected, optimization, infosys, impressed, important, head, going, focused, explained, discussed, demo, deliver, days, day, application, able, "
566,How do you handle change?,I have learned to be quite accepting of change and am always quickly ready with new plans to handle the changed scenario.,"handle change, ","always quickly ready, quite accepting, new plans, changed scenario, learned, handle, change, "
567,Tell me about a time you took the lead in a team project. What was the project outcome?,"We have took part in a hackathon  and our team needed to work on the project for 24 hrs, me being the team lead  had to manage the work in the limited time. I have distributed the work according to the capabilities of the person and made sure that the work being done is perfect. we have completed the project within the deadline and they we really satisfied with the idea and the work. We won the hackathon and won the first prize, which made me and my team the best among all the teams that have participated fro Bangalore .","team project, project outcome, took, time, tell, lead, ","participated fro bangalore, took part, really satisfied, limited time, first prize, best among, 24 hrs, team needed, team lead, work according, project within, made sure, team, work, project, made, teams, person, perfect, manage, idea, hackathon, done, distributed, deadline, completed, capabilities, "
568,What is the biggest challenge you have faced so far?,"In B.Tech, when I was doing my minor project. We somehow got a wrong problem statement, and a lot of time was wasted. We didn't had enough time to complete the project. Then with the help of my group members, we were able to deliver it on time.","biggest challenge, far, faced, ","wrong problem statement, somehow got, group members, minor project, enough time, time, project, wasted, tech, lot, help, deliver, complete, b, able, "
569,What is the difference between hard work and smart work?,"Hard work and smart work are entirely different things. Although they are independent things, having existence on their own, smart work can result from hard work. So the major difference is that even though someone works really hard on something, there is necessarily no need that his/her resultant work should be something worth considering smart. Smart work comes as a result of careful and intelligent thinking followed by precise application of those ideas. This might involve a lot of hard work even though it is not necessary. ","smart work, hard work, difference, ","even though someone works really hard, hard work even though, something worth considering smart, intelligent thinking followed, smart work comes, entirely different things, hard work, smart work, resultant work, independent things, precise application, might involve, major difference, something, result, need, necessary, necessarily, lot, ideas, existence, careful, although, "
570,Tell me about a time you took the lead in a team project. What was the project outcome?,"We have took part in a hackathon  and our team needed to work on the project for 24 hrs, me being the team lead  had to manage the work in the limited time. I have distributed the work according to the capabilities of the person and made sure that the work being done is perfect. we have completed the project within the deadline and they we really satisfied with the idea and the work. We won the hackathon and won the first prize, which made me and my team the best among all the teams that have participated fro Bangalore .","team project, project outcome, took, time, tell, lead, ","participated fro bangalore, took part, really satisfied, limited time, first prize, best among, 24 hrs, team needed, team lead, work according, project within, made sure, team, work, project, made, teams, person, perfect, manage, idea, hackathon, done, distributed, deadline, completed, capabilities, "
571,How would you be an asset to this organisation?  ,I can assure a fruitful effort from my side. I assure proper utilisation of time and skills from my side. The organisation's  growth through my small efforts will be my ultimate goal. ,"would, organisation, asset, ","assure proper utilisation, ultimate goal, small efforts, fruitful effort, assure, time, skills, side, organisation, growth, "
572,Have you ever made a mistake? How did you handle it?,"Yes sure i have made mistakes. The mistake of which i can recall is that of taking a year gap after twelfth standard for preparation of competitive exams. I was not that confident enough for taking the drop and also had no motivation initially. Even i suffered from illness in the mid too. I handle it in the way that i always had good faith in me, prepared hard for the exams never left hope and just went on for it. In the end this dedication gave a fruitful reward too.","ever made, mistake, handle, ","exams never left hope, competitive exams, yes sure, year gap, twelfth standard, prepared hard, motivation initially, made mistakes, good faith, fruitful reward, dedication gave, confident enough, went, way, taking, suffered, recall, preparation, mistake, mid, illness, handle, even, end, drop, always, also, "
573,Are you a risk taker or do you stay away from risk?,I like to think about the situation and at times I do decide to do something that's risky whereas at other times I play safe.,"stay away, risk taker, risk, ","risky whereas, play safe, times, think, something, situation, like, decide, "
574,Do you consider yourself successful? Why?,"Yes I consider myself a successful person. I believe success is not just achieving. The success of a person lies in the way the life is oriented. More than that, if you are a person of high character, who can see others through you, there lies the success of a person. Also the physical aspects add to th","successful, consider, ","physical aspects add, see others, high character, successful person, believe success, person lies, person, success, lies, yes, way, th, oriented, life, consider, also, achieving, "
575,In what ways are you an organised or disorganised person?,"I would consider or rather i would prefer an organised lifestyle. I keep my things clean and in proper organised place, which helps me in finding my things easily. I also plan my week using a weekly planner and try my best to achieve my weekly goals by following it. these are two examples to say that i am an organised person.

But life is not sunshine and rainbows as Sylvester Stallone says! I do procrastinate sometimes, go off the schedule and relax more. There are days where i missed my breakfast and slept for nearly 10 hours, which could be a possible example to say that i am a disorganised person sometimes.

Overall, i will consider myself as an organised person!!","disorganised person, ways, organised, ","sylvester stallone says, nearly 10 hours, proper organised place, disorganised person sometimes, organised person, procrastinate sometimes, organised lifestyle, would prefer, weekly planner, weekly goals, week using, two examples, things easily, things clean, possible example, also plan, would consider, consider, try, sunshine, slept, schedule, say, relax, rather, rainbows, overall, missed, life, keep, helps, go, following, finding, days, could, breakfast, best, achieve, "
576,What matters to you more - job satisfaction or salary?,"Job satisfaction and salary are two major factors which I consider when choosing a job. I define a minimum threshold for each of them. I would prioritize job satisfaction over salary because your job description, peer group and environment at work influences your productivity and happiness in a major way. I do respect the importance of money and therefore would expect the salary to be above a realistic minimum threshold which I've set.","job satisfaction, salary, matters, ","would prioritize job satisfaction, therefore would expect, two major factors, realistic minimum threshold, job satisfaction, minimum threshold, major way, job description, work influences, peer group, job, set, salary, respect, productivity, money, importance, happiness, environment, define, consider, choosing, "
577,Describe a decision you made that was a failure. What happened and why?,"In my First year at IIIT- Bangalore, we had a course called Introduction to Profession. As part of this course we had a project which was to be done by a group of 4 students. The team was randomly chosen and I did not know much about my teammates. When we met to work on our project, we decided that it made sense to divide the work amongst ourselves, in order to prevent repetitions. So we charted our future plan as to how we wanted to proceed with the project and each of us chose an area which we were most excited about without any problems. As promised I did my part of the work as per plan, but sadly some team mated did not meet the deadlines. However they also did not communicate this with the other team mates till the end. During the regular progress check meetings that we had, we just orally assured the others that everything was going fine  and even if it was not for some team mates they said that everything was under control and I did not bother to cross check. I think this is a mistake on my part. When the time had come to integrate everyone's work, it became clear that one of our team mate did not generate much progress due to which our project on the whole could not be completed. The mistake I have made here is to not verify and check the progress made periodically and just believed the oral assurances. also since I was a in my first year I did not know about my team mates and how knowledgable and trust-worthy they are. At the end, the other team mates worked extra time to compensate for the incomplete work and we could finally complete our project on time.","made, happened, failure, describe, decision, ","team mates worked extra time, generate much progress due, regular progress check meetings, team mates till, progress made periodically, could finally complete, course called introduction, team mates, whole could, team mated, team mate, know much, cross check, us chose, randomly chosen, prevent repetitions, per plan, orally assured, oral assurances, made sense, integrate everyone, going fine, future plan, first year, became clear, 4 students, work amongst, incomplete work, also since, time, team, check, made, course, work, know, also, worthy, without, wanted, verify, trust, think, teammates, said, sadly, promised, project, profession, proceed, problems, part, others, order, one, mistake, met, meet, knowledgable, iiit, however, group, excited, everything, even, end, done, divide, decided, deadlines, control, completed, compensate, communicate, come, charted, bother, believed, bangalore, area, "
578,Who has inspired you in your life and why?,"There are many inspirations across the various walks of life, but if I were to choose one single person, it would be my father. He has singlehandedly supported his family ever since he was a teenager and continues to do the same, without the slightest sign of discomfort. He has shaped me up to be the man I am.","life, inspired, ","choose one single person, many inspirations across, family ever since, various walks, slightest sign, singlehandedly supported, would, without, teenager, shaped, man, life, father, discomfort, continues, "
579,"If you could learn some new skill, what would that be?","I am a very curious person by nature. I am always eager to learn new things. This question has brought up myriad of new skills which I would love to learn. However, given an opportunity, the first skill that I would love to learn is the skill to analyze languages which forms a major part of computational linguistics. Also, I am very eager to know about the latest technologies in the field of computational linguistics.

Given an opportunity, I would also love to learn hip-hop dance!","new skill, could learn, would, ","learn new things, would also love, would love, new skills, major part, learn hip, latest technologies, hop dance, curious person, computational linguistics, analyze languages, first skill, always eager, learn, also, skill, eager, question, opportunity, nature, myriad, know, however, given, forms, field, brought, "
580,How would you be an asset to this organisation?  ,"I might be an asset because I put in my best to any work I take up. I am not shy of speaking my mind when necessary take it well when any positive criticism is directed at me. I would not say that I know everything and I am always keen to learn more. I think this job will help me to learn more and therefore, I am looking forward to it. ","would, organisation, asset, ","positive criticism, looking forward, know everything, always keen, necessary take, take, would, work, well, think, therefore, speaking, shy, say, put, mind, might, learn, job, help, directed, best, asset, "
581,Why shouldn't I hire you?,"One problem in my nature is that I get easily distracted from my work if I am not in my workplace. So if you are a company which purely has work from home culture, you wouldn't want to hire me. On the plus side, if you have a lab like environment in the office, I end up forcing myself to work in the lab as it provides me the right environment to work on.","hire, ","get easily distracted, lab like environment, right environment, plus side, one problem, home culture, lab, workplace, work, want, purely, provides, office, nature, hire, forcing, end, company, "
582,Describe a decision you made that was a failure. What happened and why?,"In my First year at IIIT- Bangalore, we had a course called Introduction to Profession. As part of this course we had a project which was to be done by a group of 4 students. The team was randomly chosen and I did not know much about my teammates. When we met to work on our project, we decided that it made sense to divide the work amongst ourselves, in order to prevent repetitions. So we charted our future plan as to how we wanted to proceed with the project and each of us chose an area which we were most excited about without any problems. As promised I did my part of the work as per plan, but sadly some team mated did not meet the deadlines. However they also did not communicate this with the other team mates till the end. During the regular progress check meetings that we had, we just orally assured the others that everything was going fine  and even if it was not for some team mates they said that everything was under control and I did not bother to cross check. I think this is a mistake on my part. When the time had come to integrate everyone's work, it became clear that one of our team mate did not generate much progress due to which our project on the whole could not be completed. The mistake I have made here is to not verify and check the progress made periodically and just believed the oral assurances. also since I was a in my first year I did not know about my team mates and how knowledgable and trust-worthy they are. At the end, the other team mates worked extra time to compensate for the incomplete work and we could finally complete our project on time.","made, happened, failure, describe, decision, ","team mates worked extra time, generate much progress due, regular progress check meetings, team mates till, progress made periodically, could finally complete, course called introduction, team mates, whole could, team mated, team mate, know much, cross check, us chose, randomly chosen, prevent repetitions, per plan, orally assured, oral assurances, made sense, integrate everyone, going fine, future plan, first year, became clear, 4 students, work amongst, incomplete work, also since, time, team, check, made, course, work, know, also, worthy, without, wanted, verify, trust, think, teammates, said, sadly, promised, project, profession, proceed, problems, part, others, order, one, mistake, met, meet, knowledgable, iiit, however, group, excited, everything, even, end, done, divide, decided, deadlines, control, completed, compensate, communicate, come, charted, bother, believed, bangalore, area, "
583,How would you convince your client with your ideas?,"First, I would prepare myself for the potential questions.I would try and avoid a lengthy PPT stuff and prepare a very short presentation with mostly diagrams and very less text. May be present some case study where in the idea would have provided a much better solution than the one currently available. ","would, ideas, convince, client, ","one currently available, much better solution, lengthy ppt stuff, would try, short presentation, potential questions, mostly diagrams, less text, idea would, case study, would prepare, prepare, provided, present, may, first, avoid, "
584,How will you make the best of this job?,I will work hard and put my heart and soul into it to make the best of this job.,"make, job, best, ","work hard, soul, put, make, job, heart, best, "
585,What matters to you more - job satisfaction or salary?,"As far as I am concerned, job satisfaction is more important. I don't think a huge salary alone can keep one satisfied with one's job. If we don't enjoy what we are doing then there is no point in doing what we do and there's no justice done to the work either. ","job satisfaction, salary, matters, ","huge salary alone, keep one satisfied, work either, justice done, job satisfaction, one, job, think, point, important, far, enjoy, concerned, "
586,"Have you worked with someone unprofessional, how did you handle it?","During my B-Tech final semester internship, I have experienced unprofessional behavior.  I did not do anything to show my displeasure, instead, I kept behaving professionally. It didn't solve the issue, but did reduce the magnitude to some extent. ","someone unprofessional, worked, handle, ","tech final semester internship, kept behaving professionally, experienced unprofessional behavior, solve, show, reduce, magnitude, issue, instead, extent, displeasure, b, anything, "
587,What obstacles or difficulties have you ever faced in communicating your ideas?,"Sometimes it happens that I am unable to express what I want to tell because of demotivation from other parties. But still I don't lose hope and stick with my ideas and try to explain that in some innovative and real examples. One day, I and my project partners were discussing on project idea. At that time, my idea was good and new but problem was that I don't have any proof to prove that my idea will work very well. But after some days of research, I found actual proof that it is possible to implement and then we all would agreed on that topic. For the newer person, it is natural to have some difficulties in communicating but after some efforts you will surely get confidence to explain it in better way. ","ever faced, obstacles, ideas, difficulties, communicating, ","surely get confidence, found actual proof, would agreed, real examples, project partners, one day, newer person, lose hope, better way, project idea, proof, idea, work, well, want, unable, try, topic, time, tell, still, stick, sometimes, research, prove, problem, possible, parties, new, natural, innovative, implement, ideas, happens, good, express, explain, efforts, discussing, difficulties, demotivation, days, communicating, "
588,How did you handle meeting a tight deadline?,i generally don't postpone my work till the deadline. I am conscious enough and plan everything in advance and manage the things to avoid any last minute tensions. ,"tight deadline, handle meeting, ","last minute tensions, work till, plan everything, conscious enough, things, postpone, manage, generally, deadline, avoid, advance, "
589,What is the difference between confidence and over-confidence?,"Confidence is when somebody knows his or her shortcomings and  he or she is willing to accept any outcome which may not match with his/her expectations. A confident person is very well aware of the non-trivialities in any matter and can smoothly act on them . Confidence in doing any job is obtained when after practicing a lot he is sure of the outcome because the neural pathways are consolidated. for example a student is confident in taking an exam when he has practiced and studied intensely for an exam and he is sure he will be able to tackle any type of problem. 
Overconfidence is pseudo-confidence i.e pretending to have an upper-hand  in something inspite of lacking substantial knowledge about that particular thing, an overconfident person is ready to disregard any non-triviality in any matter solely based on his false pretences that he can tackle any matter no matter how difficult it is. ","difference, confidence, ","lacking substantial knowledge, matter solely based, well aware, studied intensely, something inspite, somebody knows, smoothly act, particular thing, overconfident person, neural pathways, false pretences, e pretending, confident person, matter, confident, willing, upper, type, triviality, trivialities, taking, tackle, sure, student, shortcomings, ready, pseudo, problem, practicing, practiced, overconfidence, outcome, obtained, non, may, match, lot, job, hand, expectations, example, exam, disregard, difficult, consolidated, confidence, accept, able, "
590,Who has inspired you in your life and why?,"My inspiration for life are my parents, my teachers and a lot of famous personalities like APJ Abdul Kalam, Arnold Schwarztneger, Roger Feder. My parents are my greatest inspiration they taught me how to lead a beautiful life. My teachers fascinated me with knowledge which made me curious and ask question about everything. Especially my plus two teachers who motivated me towards studies. Unlike person I meet in person there are people like Federer whose passion and consistencty and hard work motivated me a lot. And his fighting spirit during failure helped me over come my bad times.","life, inspired, ","famous personalities like apj abdul kalam, people like federer whose passion, plus two teachers, hard work motivated, towards studies, teachers fascinated, roger feder, fighting spirit, failure helped, bad times, ask question, arnold schwarztneger, unlike person, greatest inspiration, beautiful life, teachers, motivated, person, life, inspiration, taught, parents, meet, made, lot, lead, knowledge, everything, especially, curious, consistencty, come, "
591,Explain how would you be an asset to this organisation?,I would be an asset as I will put in my best effort. I will do the share of work allocated to me efficiently. I will try to create a friendly environment within the organization.  ,"would, organisation, explain, asset, ","friendly environment within, work allocated, best effort, would, try, share, put, organization, efficiently, create, asset, "
592,What are the strategies you think one should have to perform well in such an interview?,In an interview one must have to be confident and fell like he talks to a person not to a system . So that  he gets the feel  of real communication and he can make his point clearly to the system.,"think one, perform well, strategies, interview, ","interview one must, real communication, point clearly, fell like, talks, system, person, make, gets, feel, confident, "
593,"Do you have problems working on weekends, if the work demands?","I have not had any exact working experience because I'm still just a third year student here as an Imtech. It would depend on the work atmosphere and the work I'm doing. If I like the job I am doing, I wouldn't mind working on weekends when work demands. ","work demands, problems working, weekends, ","third year student, exact working experience, mind working, would depend, work demands, work atmosphere, work, weekends, still, like, job, imtech, "
594,"Do you have problems working on weekends, if the work demands?","I have not had any exact working experience because I'm still just a third year student here as an Imtech. It would depend on the work atmosphere and the work I'm doing. If I like the job I am doing, I wouldn't mind working on weekends when work demands. ","work demands, problems working, weekends, ","third year student, exact working experience, mind working, would depend, work demands, work atmosphere, work, weekends, still, like, job, imtech, "
595,Why shouldn't I hire you?,You shouldn't hire me if you felt that  I am not good enough to complete the tasks. ,"hire, ","good enough, tasks, hire, felt, complete, "
596,How will you perform under pressure? Will it affect your performance?,"I am used to working under pressure after joining in IIIT B. Before IIIT B, pressure kind of gave me tension which automatically switched off my brain. Now i am used to it. Pressure happens if one don't work everyday, and keeping everything to the last. I am not doing that anymore, I started working early and trying to finish my work few days before deadline which is kind of helping me to be away from pressure.","pressure, performance, perform, affect, ","started working early, keeping everything, iiit b, automatically switched, pressure happens, work everyday, pressure kind, working, pressure, work, kind, used, trying, tension, one, last, joining, helping, gave, finish, deadline, days, brain, away, anymore, "
597,What is the difference between confidence and over-confidence?,"Confidence is something that is required to motivate ourselves to achieve something that we desire. Confidence is a must in everyone to be able to carry forward something saying-'You are able enough to do it' to yourself.
Overconfidence is you being over everybody else in whatever you think you are trying to achieve.When you feel that I don't find anybody but me capable enough and becomes over excited, that is over confidence. 
Confidence is something you should have, while the other one better stay away.","difference, confidence, ","carry forward something saying -', one better stay away, achieve something, find anybody, everybody else, capable enough, able enough, something, achieve, able, whatever, trying, think, required, overconfidence, must, motivate, feel, excited, everyone, desire, confidence, becomes, "
598,What do people most often criticize about you?,I am generally good to everyone and try to make them and myself happy about any stuff we talk about. When i have any quarrel or fight with anyone i excuse them after sometime. But the other person sometimes take advantage of this quality of mine and starts or makes a new issue and fights back. ,"often criticize, people, ","person sometimes take advantage, new issue, generally good, fights back, try, talk, stuff, starts, sometime, quarrel, quality, mine, makes, make, happy, fight, excuse, everyone, anyone, "
599,How would you be an asset to this organisation?  ,I can be an asset to this organisation by contributing my knowledge and skills whenever and wherever its required. I will put my hard work and full dedication to achieve the goal and can make good interaction with people in organisation so as to create a good understanding to work together efficiently.,"would, organisation, asset, ","work together efficiently, make good interaction, hard work, good understanding, skills whenever, full dedication, wherever, required, put, people, organisation, knowledge, goal, create, contributing, asset, achieve, "
600,What is the difference between confidence and over-confidence?,"Confidence is one which lets a person break his inhibitions and attain great success . However , overconfidence is a trait which when persued makes a person arrogant and blind to the others ideas and respect. ","difference, confidence, ","attain great success, persued makes, person break, person arrogant, others ideas, trait, respect, overconfidence, one, lets, inhibitions, however, confidence, blind, "
601,Where do you see yourself five years from now?,"I see my self as a happy well settled man with a good job in the IT sector , with a family and a car and house of my own.","five years, see, ","happy well settled man, good job, self, see, sector, house, family, car, "
602, Give an example of a goal you did not meet and how you handled it.,"We have one project module as a part of Training while i was woking with infosys. I was selected as a project lead for that project. I was not able to deliver that project on time because I was more focused on the optimization and performance part of the application. On the day of Demo of the project, I discussed with the head and explained her why I was not able to deliver it. She was impressed with the way we were going but explained me that timely delivery is more important. She gave us 2 more days and during that we were able to deliver the project.","meet, handled, goal, give, example, ","gave us 2, one project module, timely delivery, project lead, performance part, project, part, woking, way, training, time, selected, optimization, infosys, impressed, important, head, going, focused, explained, discussed, demo, deliver, days, day, application, able, "
603,Describe a decision you made that was a failure. What happened and why?,"In my First year at IIIT- Bangalore, we had a course called Introduction to Profession. As part of this course we had a project which was to be done by a group of 4 students. The team was randomly chosen and I did not know much about my teammates. When we met to work on our project, we decided that it made sense to divide the work amongst ourselves, in order to prevent repetitions. So we charted our future plan as to how we wanted to proceed with the project and each of us chose an area which we were most excited about without any problems. As promised I did my part of the work as per plan, but sadly some team mated did not meet the deadlines. However they also did not communicate this with the other team mates till the end. During the regular progress check meetings that we had, we just orally assured the others that everything was going fine  and even if it was not for some team mates they said that everything was under control and I did not bother to cross check. I think this is a mistake on my part. When the time had come to integrate everyone's work, it became clear that one of our team mate did not generate much progress due to which our project on the whole could not be completed. The mistake I have made here is to not verify and check the progress made periodically and just believed the oral assurances. also since I was a in my first year I did not know about my team mates and how knowledgable and trust-worthy they are. At the end, the other team mates worked extra time to compensate for the incomplete work and we could finally complete our project on time.","made, happened, failure, describe, decision, ","team mates worked extra time, generate much progress due, regular progress check meetings, team mates till, progress made periodically, could finally complete, course called introduction, team mates, whole could, team mated, team mate, know much, cross check, us chose, randomly chosen, prevent repetitions, per plan, orally assured, oral assurances, made sense, integrate everyone, going fine, future plan, first year, became clear, 4 students, work amongst, incomplete work, also since, time, team, check, made, course, work, know, also, worthy, without, wanted, verify, trust, think, teammates, said, sadly, promised, project, profession, proceed, problems, part, others, order, one, mistake, met, meet, knowledgable, iiit, however, group, excited, everything, even, end, done, divide, decided, deadlines, control, completed, compensate, communicate, come, charted, bother, believed, bangalore, area, "
604, Why shouldn't I hire you?,I don't give up easily on a thing. I try to explore all the avenues before calling it quits and sometimes it may result in time wasted. I realise that sometimes it's easier to give up because another way exists but I have a tendency to explore everything on a particular approach. I am trying to improve over it by taking it easy on myself if I don't complete a job and switch to next. as I am trying to realise on how wasted efforts are costlier. I have a short temper if work doesn't happen as it was supposed to happen. Earlier I would get worked upon very small things but now I have started practicing meditation to smoothen my transition and be more patient.,"hire, ","would get worked upon, started practicing meditation, another way exists, wasted efforts, time wasted, small things, short temper, particular approach, may result, explore everything, explore, work, trying, try, transition, thing, tendency, taking, switch, supposed, sometimes, smoothen, realise, quits, patient, next, job, improve, happen, give, easy, easily, easier, earlier, costlier, complete, calling, avenues, "
605,Tell me about a time when you misjudged a person.,"I trusted a teammate assuming he had integrity, however he took credit for work he didn't do","time, tell, person, misjudged, ","took credit, teammate assuming, work, trusted, integrity, however, "
606,Who has inspired you in your life and why?,A lot of people have inspired me but mainly i would like yo say that my father is my inspiration. I have grown up watching him and i aspire to be like him in future,"life, inspired, ","would like yo say, like, watching, people, mainly, lot, inspired, inspiration, grown, future, father, aspire, "
607,What is the biggest challenge you have faced so far?,"During my first job, I was not very good at programming. So in order to not appear unskilled' before the people i spent extra efforts to learn the same. '","biggest challenge, far, faced, ","spent extra efforts, first job, appear unskilled, programming, people, order, learn, good, "
608,"If you have problems at your workplace, how and to whom would you communicate it?","If I am having some problem at my workplace i will first communicate with my team lead, and then i will communicate to HR manager.","would, workplace, problems, communicate, ","team lead, hr manager, first communicate, communicate, workplace, problem, "
609,What is the difference between confidence and over-confidence?,"Confidence is one which lets a person break his inhibitions and attain great success . However , overconfidence is a trait which when persued makes a person arrogant and blind to the others ideas and respect. ","difference, confidence, ","attain great success, persued makes, person break, person arrogant, others ideas, trait, respect, overconfidence, one, lets, inhibitions, however, confidence, blind, "
610,Tell me about a time you took the lead in a team project. What was the project outcome?,"We have took part in a hackathon  and our team needed to work on the project for 24 hrs, me being the team lead  had to manage the work in the limited time. I have distributed the work according to the capabilities of the person and made sure that the work being done is perfect. we have completed the project within the deadline and they we really satisfied with the idea and the work. We won the hackathon and won the first prize, which made me and my team the best among all the teams that have participated fro Bangalore .","team project, project outcome, took, time, tell, lead, ","participated fro bangalore, took part, really satisfied, limited time, first prize, best among, 24 hrs, team needed, team lead, work according, project within, made sure, team, work, project, made, teams, person, perfect, manage, idea, hackathon, done, distributed, deadline, completed, capabilities, "
611,Describe a situation in which you had to arrive at a compromise or help others to compromise. What was your role? What steps did you take? What was the result?,"Sometimes I compromise if some elder person or the person whom I respect wants something on which I don't agree.
For example, my grandparents love and they didn't want me to go out of the country for higher studies, so I am doing my masters from India only.I tried convincing them but it was all in vain.In the end the result is that we both are happy. ","help others, take, steps, situation, role, result, describe, compromise, arrive, ","respect wants something, tried convincing, higher studies, grandparents love, elder person, person, want, vain, sometimes, result, masters, india, happy, go, example, end, country, compromise, agree, "
612,How would you be an asset to this organisation?  ,"I am a commited worker and don't waste time. I am open for co-operation and adjustments. I am a fast learner as well.

","would, organisation, asset, ","waste time, fast learner, commited worker, well, operation, open, co, adjustments, "
613, Give an example of a goal you did not meet and how you handled it.,"We have one project module as a part of Training while i was woking with infosys. I was selected as a project lead for that project. I was not able to deliver that project on time because I was more focused on the optimization and performance part of the application. On the day of Demo of the project, I discussed with the head and explained her why I was not able to deliver it. She was impressed with the way we were going but explained me that timely delivery is more important. She gave us 2 more days and during that we were able to deliver the project.","meet, handled, goal, give, example, ","gave us 2, one project module, timely delivery, project lead, performance part, project, part, woking, way, training, time, selected, optimization, infosys, impressed, important, head, going, focused, explained, discussed, demo, deliver, days, day, application, able, "
614,How will you perform under pressure? Will it affect your performance?,First of all I will not allow things to go so wrong so as to create some sort of pressure. Now if the pressure starts to build up then I will make use of my time to the best of the ability  to handle this pressure. Yes it will affect some  my performance but not very much.,"pressure, performance, perform, affect, ","make use, allow things, pressure starts, pressure, yes, wrong, time, sort, performance, much, handle, go, first, create, build, best, affect, ability, "
615,How would you convince your client with your ideas?,I would describe my idea and explain him the novelty of the idea. I would request one day and make a presentation of how to implement this idea and how can the organization can be achieved from it. I would explain him the feasibility.,"would, ideas, convince, client, ","would request one day, would describe, would explain, explain, presentation, organization, novelty, make, implement, idea, feasibility, achieved, "
616,How do you feel about working under a person who is younger to you?,"A great person once said, the only true knowledge is the knowledge that you know nothing. To achieve greatness, we sometimes need to start over. We need to learn to let go of our ego and focus on our goals. When the mind is focused on the end goal, everything else becomes secondary. Working under someone younger would be a refreshing experience. We get to learn that age and wisdom need not always be in sync and that greatness comes from talent and effort. It is an experience of a lifetime that we should all experience, an experience that is exhilarating and humbling at the same time.","younger, working, person, feel, ","everything else becomes secondary, someone younger would, let go, know nothing, greatness comes, great person, end goal, achieve greatness, wisdom need, sometimes need, true knowledge, refreshing experience, need, knowledge, experience, working, time, talent, sync, start, said, mind, lifetime, learn, humbling, goals, get, focused, focus, exhilarating, ego, effort, always, age, "
617,What are your strengths and weaknesses? ," Perseverance is  a particular strength I am proud of.
I am quite industrious. I don't like leaving anything before completion. I try my best to complete a task at hand.
I am a true Sagittarian. I have worked in projects involving groups and have achieved success often. I don't get easily carried away by distractions. I am a bit stoic at heart. If you consider, phone usage as a measure, I consider mobile as a productivity tool only. I spend very little amount of time on social networking. I like trying new things out.
I am very flexible with waking an sleeping times.
In times of distress, I always believe in faith rather than hope. I am a true Gandhian at heart.

Weakness
I become  a bit stressed during deadlines. I have willingness to complete but my productivity falls a bit on approaching a deadline.  
When I have less interest in work I am give, I tend to procastinate it.","weaknesses, strengths, ","get easily carried away, like trying new things, like leaving anything, projects involving groups, achieved success often, true sagittarian, true gandhian, social networking, quite industrious, productivity tool, productivity falls, phone usage, particular strength, little amount, less interest, faith rather, always believe, bit stressed, bit stoic, sleeping times, consider mobile, bit, times, consider, worked, work, willingness, weakness, waking, try, time, tend, task, spend, proud, procastinate, perseverance, measure, hope, heart, hand, give, flexible, distress, distractions, deadlines, deadline, completion, complete, best, become, approaching, "
618,Are you a self-motivator?,"Yes i am a self motivator.As i keep asking myself of a better self than i am now, and also keep remainding myself of some of the extraordinary struggles of great peoples to keep my moral high.","self, motivator, ","also keep remainding, self motivator, moral high, keep asking, great peoples, extraordinary struggles, better self, keep, yes, "
